Time,Detected Objects
1.5399069786071777,['person1.0']
2.368210554122925,['person1.0']
2.5904946327209473,['person1.0']
2.8022258281707764,['person1.0']
2.993732213973999,['person1.0']
3.213177442550659,['person1.0']
3.4098918437957764,['person1.0']
4.019601583480835,[]
4.2623069286346436,[]
4.472654581069946,[]
4.697491884231567,['person2.0']
4.910712480545044,['person2.0']
5.114455699920654,['person2.0']
5.337179183959961,['person2.0']
5.569297790527344,"['sofa3.0', 'person2.0']"
5.772895097732544,['person2.0']
5.971772193908691,['person2.0']
6.17952036857605,['person2.0']
6.382638931274414,['person2.0']
6.596949577331543,['person2.0']
6.8195061683654785,"['sofa4.0', 'person2.0']"
7.022456169128418,['person2.0']
7.232764720916748,['person2.0']
7.440748691558838,['person2.0']
7.643096446990967,['person2.0']
7.8757617473602295,['person2.0']
8.082677841186523,['person2.0']
8.31408166885376,['person2.0']
8.515825510025024,['person2.0']
8.718334197998047,['person2.0']
8.932862758636475,['person2.0']
9.137275457382202,['person2.0']
9.350404262542725,['person2.0']
9.564534425735474,['person2.0']
9.76834511756897,['person2.0']
9.971680164337158,['person2.0']
10.165306568145752,['person2.0']
10.376993417739868,['person2.0']
10.582335948944092,['person2.0']
10.818073749542236,['person2.0']
11.033113241195679,['person2.0']
11.281946182250977,['person2.0']
11.48249626159668,['person2.0']
11.686880826950073,['person2.0']
11.909312725067139,['person2.0']
12.126722812652588,['person2.0']
12.344485998153687,['person2.0']
12.546916007995605,['person2.0']
12.764734506607056,['person2.0']
12.962563276290894,['person2.0']
13.158402919769287,['person2.0']
13.374207019805908,['person2.0']
13.580425262451172,['person2.0']
13.824371576309204,['person2.0']
14.031826972961426,['person2.0']
14.227660894393921,['person2.0']
14.431518316268921,['person2.0']
14.634151458740234,['person2.0']
14.860201120376587,['person2.0']
15.104180097579956,['person2.0']
15.312172889709473,['person2.0']
15.73500943183899,['person2.0']
15.93766736984253,['person2.0']
16.152159929275513,['person2.0']
16.356239318847656,['person2.0']
16.5828378200531,['person2.0']
16.7868435382843,['person2.0']
17.024416208267212,['person2.0']
17.218388080596924,['person2.0']
17.4219651222229,['person2.0']
17.670172452926636,['person2.0']
17.87844204902649,['person2.0']
18.08721923828125,['person2.0']
18.337808847427368,['person2.0']
18.55841612815857,['person2.0']
18.778960704803467,['person2.0']
19.03980326652527,['person2.0']
19.300835132598877,['person2.0']
19.512511491775513,['person2.0']
19.711259365081787,['person2.0']
19.935908555984497,['person2.0']
20.16982078552246,['person2.0']
20.385523557662964,['person2.0']
20.601063013076782,['person2.0']
20.857033252716064,['person2.0']
21.097917318344116,['person2.0']
21.34095525741577,['person2.0']
21.547021627426147,['person2.0']
21.82542085647583,['person2.0']
22.096367359161377,['person2.0']
22.37614369392395,['person2.0']
22.641059637069702,['person2.0']
22.852170705795288,['person2.0']
23.06247091293335,['person2.0']
23.268357515335083,['person2.0']
23.522207975387573,['person2.0']
23.76847529411316,['person2.0']
24.030189752578735,['person2.0']
24.289096355438232,['person2.0']
24.566245079040527,['person2.0']
24.830086946487427,['person2.0']
25.087629556655884,['person2.0']
25.32387638092041,['person2.0']
25.565894603729248,"['cell phone10.0', 'person2.0']"
25.795522928237915,"['cell phone10.0', 'person2.0']"
26.020598649978638,"['cell phone10.0', 'person2.0']"
26.436655521392822,['person2.0']
26.69295859336853,['person2.0']
26.944278478622437,['person2.0']
27.19036865234375,['person2.0']
27.418808698654175,[]
27.65137004852295,[]
27.88515067100525,[]
28.12698221206665,['person2.0']
28.348807334899902,['person2.0']
28.591901063919067,['person2.0']
28.821800231933594,['person2.0']
29.050837755203247,['person2.0']
29.272643566131592,['person2.0']
29.492663860321045,['person2.0']
29.729252338409424,['person2.0']
29.992451667785645,['person2.0']
30.25177788734436,"['cell phone13.0', 'person2.0']"
30.501434087753296,"['cell phone13.0', 'person2.0']"
30.760757446289062,['person2.0']
30.99333691596985,['person2.0']
31.228941440582275,[]
31.453790187835693,[]
31.67733359336853,['person14.0']
31.949854135513306,['person14.0']
32.170337200164795,['person14.0']
32.38650727272034,['person14.0']
32.63444662094116,['person14.0']
32.86489200592041,['person14.0']
33.095892667770386,['person14.0']
33.31013560295105,['person14.0']
33.55286884307861,['person14.0']
33.78623676300049,['person14.0']
34.032023429870605,['person14.0']
34.30967664718628,['person14.0']
34.63854742050171,['person14.0']
34.96039867401123,['person14.0']
35.29900407791138,['person14.0']
35.59800410270691,['person14.0']
36.08681130409241,['person14.0']
36.49728012084961,['person14.0']
36.84568428993225,['person14.0']
37.18854546546936,['person14.0']
37.557894229888916,['person14.0']
37.83834218978882,['person14.0']
38.14287614822388,['person14.0']
38.445520877838135,['person14.0']
38.763800382614136,['person14.0']
39.08884835243225,['person14.0']
39.40606737136841,['person14.0']
39.683714389801025,['person14.0']
39.979010343551636,['person14.0']
40.27951145172119,['person14.0']
40.596224308013916,['person14.0']
40.949851512908936,['person14.0']
41.27984261512756,['person14.0']
41.58994388580322,['person14.0']
41.86596751213074,['person14.0']
